aX,aY,aZ,gX,gY,gZ
0.450,1.423,-0.190,-76.294,-3.662,-111.145
0.422,1.410,-0.051,-59.692,-0.916,-95.459
0.339,1.345,0.092,-42.969,-2.136,-80.872
0.272,1.073,0.245,-32.227,-3.052,-65.613
0.118,0.775,0.391,-31.311,-0.305,-42.236
-0.058,0.555,0.408,-39.978,10.132,-17.822
-0.142,0.361,0.323,-49.438,24.353,-2.319
-0.184,0.215,0.276,-49.377,34.180,1.831
-0.154,0.157,0.305,-40.344,40.466,-2.808
-0.067,0.127,0.378,-27.283,39.246,-11.292
0.002,0.116,0.506,-13.428,25.574,-18.555
0.056,0.103,0.646,-1.892,2.136,-22.461
0.087,0.091,0.773,6.653,-22.461,-23.254
0.125,0.072,0.793,11.719,-42.725,-21.240
0.168,0.073,0.849,15.076,-60.974,-17.639
0.201,0.098,0.917,19.714,-76.904,-13.672
0.203,0.105,0.920,27.466,-88.440,-11.108
0.196,0.068,0.933,38.025,-97.229,-10.437
0.184,0.133,0.878,44.800,-99.548,-9.583
0.187,0.208,0.863,47.241,-95.032,-12.207
0.135,0.281,0.807,43.457,-86.609,-17.822
0.036,0.267,0.838,36.255,-78.308,-20.081
-0.043,0.277,0.866,32.043,-69.092,-18.311
-0.031,0.291,0.882,27.466,-53.284,-13.977
-0.004,0.305,0.853,24.414,-37.842,-10.498
0.035,0.289,0.909,26.611,-27.039,-9.949
0.048,0.230,0.988,29.968,-19.836,-9.827
0.052,0.159,1.075,31.311,-16.479,-8.484

0.027,-0.266,0.781,-5.127,4.272,10.559
0.081,-0.314,0.751,-4.272,4.822,14.099
0.134,-0.369,0.712,-4.089,5.371,18.616
0.183,-0.416,0.661,-3.906,4.395,24.109
0.253,-0.463,0.595,-2.808,1.221,29.724
0.335,-0.492,0.512,-0.244,-5.249,36.499
0.434,-0.522,0.420,3.784,-14.587,47.913
0.513,-0.570,0.290,6.226,-25.085,65.369
0.520,-0.706,0.126,5.371,-35.767,88.867
0.448,-0.911,-0.027,2.808,-43.640,112.488
0.334,-1.086,-0.132,-0.122,-46.753,129.395
0.212,-1.321,-0.174,-2.563,-45.715,136.230
-0.003,-1.501,-0.221,-4.272,-45.654,128.662
-0.104,-1.531,-0.209,-5.310,-42.542,106.384
-0.064,-1.424,-0.310,-2.319,-42.175,74.951
0.015,-1.299,-0.457,8.240,-51.331,46.875
0.107,-1.203,-0.569,26.917,-64.026,27.039
0.158,-1.151,-0.588,46.692,-71.045,12.695
0.200,-1.024,-0.656,59.937,-72.205,3.540
0.200,-0.991,-0.681,65.613,-69.336,-0.671
0.133,-0.911,-0.671,59.326,-52.368,-3.357
0.053,-0.733,-0.704,43.884,-26.672,-5.981
-0.005,-0.489,-0.771,27.466,-0.183,-7.141
-0.067,-0.318,-0.792,19.714,26.489,-6.104
-0.167,-0.280,-0.710,24.048,52.246,-5.615
-0.225,-0.302,-0.526,35.339,79.712,-7.690
-0.242,-0.346,-0.271,46.936,105.835,-14.893
-0.172,-0.353,-0.022,54.932,128.906,-26.794
-0.079,-0.323,0.240,61.462,149.597,-39.795
0.013,-0.275,0.515,66.284,166.626,-51.086
0.119,-0.156,0.835,67.932,179.871,-59.509
0.264,-0.037,1.262,69.031,191.650,-62.134
0.448,-0.026,1.707,66.101,198.975,-56.030
0.496,-0.050,2.096,52.917,201.355,-44.434
0.521,-0.015,2.371,28.076,203.735,-37.659
0.659,0.050,2.522,-1.038,205.750,-35.156
0.509,0.138,2.613,-22.888,197.083,-35.950
0.724,-0.012,2.640,-31.921,198.425,-37.231
0.795,0.051,2.963,-37.903,176.758,-52.734
0.870,0.162,3.128,-37.537,137.085,-63.171
1.001,0.221,3.200,-31.433,115.662,-58.105
