aX,aY,aZ,gX,gY,gZ
0.005,-1.617,-1.163,37.964,75.623,-68.054
-0.135,-1.646,-1.012,13.428,118.103,-96.375
-0.220,-1.620,-0.892,-9.583,158.630,-120.361
-0.290,-1.678,-0.818,-23.804,185.730,-135.315
-0.425,-1.613,-0.898,-37.354,198.120,-146.179
-0.443,-1.381,-1.280,-52.856,200.684,-156.128
-0.376,-1.135,-1.635,-52.673,200.684,-160.522
-0.126,-0.892,-1.615,-35.583,220.581,-164.612
0.446,-0.545,-1.023,-22.583,271.484,-171.753
1.311,-0.177,-0.099,-29.358,332.153,-173.462
2.242,0.428,0.937,-49.561,366.028,-168.335
3.117,1.095,2.041,-70.007,363.464,-168.884
3.713,1.788,2.692,-76.050,339.172,-172.363
4.000,2.240,3.585,-58.289,287.964,-175.354
3.978,2.527,4.000,-25.513,246.582,-169.128
3.735,2.574,4.000,-0.671,202.881,-150.452
3.340,2.539,4.000,-8.301,160.278,-112.610
2.955,2.345,4.000,-42.786,117.920,-71.716
2.350,2.205,4.000,-87.402,81.848,-44.556
1.945,2.032,4.000,-121.155,55.664,-27.527
1.567,1.805,3.880,-131.531,26.733,-15.869
1.187,1.547,3.557,-119.812,-3.235,-10.681
0.872,1.297,3.228,-101.501,-33.936,-9.460
0.621,1.022,2.919,-91.431,-60.669,-4.578
0.423,0.748,2.620,-92.957,-81.665,3.784
0.241,0.530,2.275,-96.558,-98.816,10.437
0.092,0.367,1.854,-92.712,-112.793,10.986
-0.033,0.281,1.484,-79.041,-119.568,9.766
-0.013,0.187,1.260,-55.481,-117.371,8.484
0.021,0.111,1.176,-24.902,-111.877,8.667
0.015,0.049,1.164,6.104,-109.131,9.766
0.043,-0.014,1.141,30.579,-108.826,9.094

-0.016,-0.045,0.853,4.150,-17.395,10.071
-0.019,-0.043,0.844,5.737,-17.334,9.888
-0.017,-0.042,0.864,6.165,-15.930,8.789
0.000,-0.057,0.870,5.310,-12.878,7.019
-0.001,-0.069,0.864,4.089,-8.118,4.639
-0.008,-0.071,0.869,0.488,-3.662,1.831
-0.003,-0.062,0.865,-3.113,-0.977,-0.427
-0.013,-0.047,0.861,-4.578,0.061,-1.587
-0.017,-0.053,0.874,-3.479,-0.244,-2.075
-0.029,-0.055,0.891,-2.502,-0.977,-1.343
-0.038,-0.062,0.901,-2.686,-2.380,-1.038
-0.046,-0.060,0.894,-1.892,-4.211,-1.709
-0.062,-0.052,0.876,0.610,-6.897,-2.747
